title,genres,popularity,release_date,revenue
Peaky Blinders: The Immortal Man,Crime,360.2727,2026-03-05 00:00:00,
Project Hail Mary,Science Fiction,319.2442,2026-03-15 00:00:00,
Avatar: Fire and Ash,Science Fiction,318.215,2025-12-17 00:00:00,
Shelter,Action,305.7725,2026-01-28 00:00:00,
Scream 7,Horror,303.5377,2026-02-25 00:00:00,
Your Heart Will Be Broken,Romance,290.9201,2026-03-26 00:00:00,
War Machine,Action,284.7653,2026-02-12 00:00:00,
Crime 101,Crime,256.486,2026-02-11 00:00:00,
Send Help,Horror,222.9533,2026-01-22 00:00:00,
Greenland 2: Migration,Adventure,201.2553,2026-01-07 00:00:00,
Pretty Lethal,Action,165.9872,2026-03-13 00:00:00,
GOAT,Animation,163.3332,2026-02-11 00:00:00,
Zootopia 2,Animation,146.8393,2025-11-26 00:00:00,
Lake Jesup: Bonecrusher's Revenge,Horror,136.5082,2024-05-01 00:00:00,
Whistle,Horror,128.9219,2026-01-20 00:00:00,
"""Wuthering Heights""",Romance,120.0403,2026-02-11 00:00:00,
Return to Silent Hill,Mystery,117.1219,2026-01-21 00:00:00,
Hoppers,Animation,115.3966,2026-03-04 00:00:00,
Mercy,Science Fiction,113.5157,2026-01-20 00:00:00,
Vanaveera,Action,111.9116,2026-02-13 00:00:00,
Demon Slayer: Kimetsu no Yaiba Infinity Castle,Animation,110.8049,2025-07-18 00:00:00,
Dhurandhar: The Revenge,Action,105.9388,2026-03-18 00:00:00,
The Wrecking Crew,Action,103.9216,2026-01-28 00:00:00,
Hellfire,Action,103.0455,2026-02-05 00:00:00,
The Shadow's Edge,Action,100.0367,2025-08-16 00:00:00,
Play Dead,Horror,98.5541,2025-03-29 00:00:00,
Agent Zeta,Drama,97.9858,2026-03-20 00:00:00,
The Deadly Little Mermaid,Horror,97.6018,2026-03-06 00:00:00,
The Housemaid,Mystery,92.2983,2025-12-18 00:00:00,
Do Not Enter,Horror,90.3849,2026-03-19 00:00:00,
Felon,Crime,88.8603,2008-07-17 00:00:00,
How to Make a Killing,Comedy,86.8431,2026-02-19 00:00:00,
War of the Worlds,Science Fiction,85.4851,2025-07-29 00:00:00,
Mrs Sen,Drama,85.0244,2013-07-11 00:00:00,
Dinosaurus!,Science Fiction,83.1998,1960-07-20 00:00:00,
Anaconda,Adventure,80.5068,2025-12-24 00:00:00,
Frenzy,Crime,80.4953,1972-05-25 00:00:00,
Lilly Lives Alone,Horror,80.2723,2025-08-22 00:00:00,
Milli Vanilli,Music,79.4449,2023-06-10 00:00:00,
Rocky Aur Rani Kii Prem Kahaani,Comedy,76.8681,2023-07-28 00:00:00,
Predator: Badlands,Action,76.8503,2025-11-05 00:00:00,
Rage,Drama,74.5444,1972-11-22 00:00:00,
Lady Bodyguard,Comedy,73.6573,1943-01-02 00:00:00,
Spider-Man: No Way Home,Action,70.3123,2021-12-15 00:00:00,
The Killers,Crime,70.2792,1946-08-30 00:00:00,
Endless Love,Drama,68.9161,2014-02-12 00:00:00,
xXx,Action,67.816,2002-08-09 00:00:00,
Don Juan,Adventure,66.4594,1926-08-06 00:00:00,
Gifted,Drama,66.2226,2017-04-07 00:00:00,
Dhurandhar,Action,65.9801,2025-12-05 00:00:00,
Zoolander 2,Comedy,65.8783,2016-02-06 00:00:00,
Sinners,Horror,65.7084,2025-04-16 00:00:00,
One Battle After Another,Thriller,65.5952,2025-09-23 00:00:00,
Attila,Music,65.3349,2018-12-07 00:00:00,
Cruel Jaws,Horror,65.0112,1995-05-05 00:00:00,
7 Below,Horror,64.4176,2012-04-16 00:00:00,
Buffaloed,Comedy,64.3682,2020-02-14 00:00:00,
The Hayseed,Comedy,64.1182,1919-10-26 00:00:00,
Carnosaur 2,Horror,62.5565,1995-02-23 00:00:00,
Defenseless,Thriller,62.502,1991-08-23 00:00:00,
